product_id,product_name,price,rating,url
P0177,OPPO Pad SE Matte WiFi 4GB 128GB,7290000,4.9,https://fptshop.com.vn/may-tinh-bang/oppo-pad-se-matte-wifi
P0178,Lenovo Legion Tab Gen 5 WiFi 12GB 256GB,23490000,4.9,https://fptshop.com.vn/may-tinh-bang/lenovo-legion-tab-gen-5-wifi-12gb
P0179,Samsung Galaxy Tab S11 Ultra 5G 16GB 1TB,50990000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-s11-ultra-5gb-16gb
P0180,iPad Pro 11 M5 2025 WiFi 12GB 256GB,34590000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-pro-11-m5-2025-wifi-12gb
P0181,Samsung Galaxy Tab S10 Lite WiFi 6GB 128GB,9490000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-s10-lite
P0182,Samsung Galaxy Tab S10 FE Plus WiFi 12GB 256GB,16190000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-s10-fe-plus-wifi-12gb
P0183,iPad Mini 7 2024 WiFi 128GB,14490000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-mini-7-2024-wifi
P0184,Lenovo Tab 10.1 4G 4GB 128GB,4850000,4.9,https://fptshop.com.vn/may-tinh-bang/lenovo-tab-101-4g
P0185,Samsung Galaxy Tab S10 FE WiFi 8GB 128GB,10590000,4.9,https://fptshop.com.vn/may-tinh-bang/samsung-galaxy-tab-s10-fe
P0186,OPPO Pad 3 Pro WiFi 12GB 256GB,15490000,4.9,https://fptshop.com.vn/may-tinh-bang/oppo-pad-3-pro-wifi
P0187,iPad Air 13 M4 2026 WiFi 128GB,24990000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-air-13-inch-m4-2026-wifi
P0188,iPad Pro 11 M5 2025 5G 16GB 2TB,69990000,4.9,https://fptshop.com.vn/may-tinh-bang/ipad-pro-11-m5-2025-wifi-cellular-16gb
